neighbourhood,prices
Bayview,116
Bernal Heights,179
Castro/Upper Market,209
Chinatown,194
Crocker Amazon,131
Diamond Heights,182
Downtown/Civic Center,170
Excelsior,138
Financial District,203
Glen Park,193
Golden Gate Park,182
Haight Ashbury,208
Inner Richmond,176
Inner Sunset,168
Lakeshore,120
Marina,255
Mission,184
Nob Hill,203
Noe Valley,215
North Beach,230
Ocean View,91
Outer Mission,104
Outer Richmond,166
Outer Sunset,126
Pacific Heights,252
Parkside,129
Potrero Hill,201
Presidio,477
Presidio Heights,255
Russian Hill,269
Seacliff,441
South of Market,210
Treasure Island/YBI,127
Twin Peaks,215
Visitacion Valley,115
West of Twin Peaks,173
Western Addition,204
