,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5,ID
0,111,47,163,128,90,0.16204512119293213,0.1402023583650589,0.11257358640432358,0.10232201963663101,0.09462761133909225,1100287_0.jpg
1,97,24,195,66,167,0.5536095499992371,0.35744911432266235,0.011029444634914398,0.010428978130221367,0.007748429663479328,1264432_0.jpg
2,97,24,195,66,167,0.5536095499992371,0.35744911432266235,0.011029444634914398,0.010428978130221367,0.007748429663479328,1264432_1.jpg
3,24,97,95,66,11,0.6835792064666748,0.3003915548324585,0.006966650485992432,0.004312627483159304,0.0025202133692801,1264432_2.jpg
4,97,24,95,66,11,0.5775530338287354,0.3946366608142853,0.014047259464859962,0.006662861909717321,0.0014026477001607418,1264432_3.jpg
5,174,75,195,142,138,0.5137425661087036,0.24731263518333435,0.03495752438902855,0.028754228726029396,0.020300593227148056,1264432_4.jpg
6,93,129,109,136,108,0.47335439920425415,0.22401118278503418,0.04438473656773567,0.03726228326559067,0.0341603122651577,1264432_5.jpg
7,97,24,138,127,195,0.20406511425971985,0.0928482860326767,0.07623890787363052,0.07343309372663498,0.05207905173301697,1264432_6.jpg
8,31,90,196,156,47,0.3679814338684082,0.1616300791501999,0.07964251190423965,0.07824502885341644,0.04933125898241997,1825930_0.jpg
9,47,128,163,90,102,0.2794998288154602,0.27717143297195435,0.06418190151453018,0.05414729565382004,0.05395517498254776,1950361_0.jpg
10,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295,2134100_0.jpg
11,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295,2134100_1.jpg
12,24,97,66,11,112,0.5528681874275208,0.4030397832393646,0.022238563746213913,0.007851607166230679,0.004325298126786947,2134100_2.jpg
13,108,109,20,64,112,0.2708728313446045,0.24361643195152283,0.14991198480129242,0.04367436096072197,0.04115424305200577,2134100_3.jpg
14,108,109,84,93,129,0.45710402727127075,0.31198352575302124,0.08195985108613968,0.05219205096364021,0.03022165596485138,2134100_4.jpg
15,167,97,95,66,24,0.6037532687187195,0.21615692973136902,0.03140624985098839,0.020041678100824356,0.013481301255524158,2134100_5.jpg
16,167,105,45,97,95,0.7080732583999634,0.19718816876411438,0.029270077124238014,0.016667911782860756,0.015094618313014507,2134100_6.jpg
17,64,70,136,112,152,0.7229865193367004,0.2531900405883789,0.013076474890112877,0.0025434414856135845,0.0012816255912184715,2254431_0.jpg
