,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5,ID
0,121,122,35,193,197,0.3095475435256958,0.17869976162910461,0.14076507091522217,0.11170971393585205,0.062291838228702545,1030248_0.jpg
1,170,197,137,193,83,0.9403236508369446,0.010619414038956165,0.005439091939479113,0.004839320667088032,0.004659564234316349,1072791_0.jpg
2,111,47,163,128,90,0.16204512119293213,0.1402023583650589,0.11257358640432358,0.10232201963663101,0.09462761133909225,1100287_0.jpg
3,16,149,78,158,176,0.7364345788955688,0.2136254757642746,0.010383741930127144,0.00898706540465355,0.008169518783688545,1217493_0.jpg
4,16,149,78,158,176,0.7364345788955688,0.2136254757642746,0.010383741930127144,0.00898706540465355,0.008169518783688545,1217493_1.jpg
5,150,113,136,112,198,0.20300161838531494,0.18022890388965607,0.178004652261734,0.11217989772558212,0.04499213397502899,1217493_2.jpg
6,43,164,162,204,55,0.2824634611606598,0.17511361837387085,0.11865463107824326,0.0678478330373764,0.04180076718330383,1217493_3.jpg
7,24,112,136,11,97,0.24376162886619568,0.2255484163761139,0.21004550158977509,0.0394313707947731,0.03152775764465332,1217493_4.jpg
8,136,112,24,113,64,0.40301579236984253,0.301210880279541,0.05863310024142265,0.04317495971918106,0.02902171015739441,1217493_5.jpg
9,24,97,66,45,136,0.5624246597290039,0.37801593542099,0.027429763227701187,0.004410753026604652,0.004319137893617153,1217493_6.jpg
10,195,138,139,141,154,0.35542428493499756,0.19051891565322876,0.07316312938928604,0.07253099977970123,0.04108738899230957,1252713_0.jpg
11,195,138,139,141,154,0.35542428493499756,0.19051891565322876,0.07316312938928604,0.07253099977970123,0.04108738899230957,1252713_1.jpg
12,112,136,64,198,93,0.371227502822876,0.2959950268268585,0.06561671942472458,0.046635646373033524,0.035557568073272705,1252713_2.jpg
13,109,108,64,70,84,0.43069738149642944,0.35396629571914673,0.08318085968494415,0.06875457614660263,0.0214657261967659,1252713_3.jpg
14,112,136,195,198,24,0.43249472975730896,0.35404738783836365,0.048409603536129,0.034028902649879456,0.02998485043644905,1252713_4.jpg
15,112,136,64,198,70,0.3822489380836487,0.19314275681972504,0.14065907895565033,0.11352492868900299,0.04638652876019478,1252713_5.jpg
16,112,136,198,113,64,0.5074538588523865,0.3648240864276886,0.0907236784696579,0.008065244182944298,0.0060479892417788506,1252713_6.jpg
17,97,24,195,66,167,0.5536095499992371,0.35744911432266235,0.011029444634914398,0.010428978130221367,0.007748429663479328,1264432_0.jpg
18,97,24,195,66,167,0.5536095499992371,0.35744911432266235,0.011029444634914398,0.010428978130221367,0.007748429663479328,1264432_1.jpg
19,24,97,95,66,11,0.6835792064666748,0.3003915548324585,0.006966650485992432,0.004312627483159304,0.0025202133692801,1264432_2.jpg
20,97,24,95,66,11,0.5589795112609863,0.41740792989730835,0.010412848554551601,0.006442965008318424,0.001506276661530137,1264432_3.jpg
21,174,75,142,195,138,0.514931321144104,0.27084529399871826,0.027227014303207397,0.02615690790116787,0.017003577202558517,1264432_4.jpg
22,93,129,136,109,150,0.455961138010025,0.21660646796226501,0.0447399839758873,0.04357559233903885,0.037303376942873,1264432_5.jpg
23,97,24,138,127,195,0.20406511425971985,0.0928482860326767,0.07623890787363052,0.07343309372663498,0.05207905173301697,1264432_6.jpg
24,115,55,80,151,204,0.269975483417511,0.20962806046009064,0.14605899155139923,0.08758844435214996,0.07178021967411041,1267141_0.jpg
25,115,55,80,151,204,0.269975483417511,0.20962806046009064,0.14605899155139923,0.08758844435214996,0.07178021967411041,1267141_1.jpg
26,24,97,11,127,66,0.8875554800033569,0.055603206157684326,0.03811713308095932,0.01117696799337864,0.002871532691642642,1267141_2.jpg
27,167,105,110,140,20,0.9080594182014465,0.07318443059921265,0.0029391839634627104,0.002223760122433305,0.00212904904037714,1267141_3.jpg
28,99,49,36,152,39,0.2575533390045166,0.21188536286354065,0.20017004013061523,0.12460092455148697,0.0549926683306694,1267141_4.jpg
29,138,154,55,57,195,0.5625083446502686,0.20229628682136536,0.04904969781637192,0.02762565389275551,0.027038633823394775,1267141_5.jpg
30,115,67,80,55,104,0.23091623187065125,0.15306934714317322,0.11916963756084442,0.0655730664730072,0.05204128473997116,1267141_6.jpg
