neighbourhood,prices
Bayview,70
Bernal Heights,90
Castro/Upper Market,120
Chinatown,140
Crocker Amazon,70
Diamond Heights,120
Downtown/Civic Center,80
Excelsior,90
Financial District,100
Glen Park,90
Golden Gate Park,120
Haight Ashbury,70
Inner Richmond,90
Inner Sunset,40
Lakeshore,80
Marina,120
Mission,70
Nob Hill,140
Noe Valley,80
North Beach,90
Ocean View,70
Outer Mission,90
Outer Richmond,120
Outer Sunset,140
Pacific Heights,70
Parkside,120
Potrero Hill,80
Presidio,90
Presidio Heights,100
Russian Hill,90
Seacliff,120
South of Market,70
Treasure Island/YBI,90
Twin Peaks,40
Visitacion Valley,80
West of Twin Peaks,120
Western Addition,70
