,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,24,97,66,112,11,0.5141041278839111,0.46224936842918396,0.016398493200540543,0.0017755806911736727,0.00141623814124614
1,115,75,43,91,55,0.15809543430805206,0.08719832450151443,0.08361800014972687,0.07401436567306519,0.07388864457607269
2,112,136,64,70,113,0.3074418008327484,0.19235678017139435,0.14277611672878265,0.06513946503400803,0.046959977596998215
3,112,136,85,64,70,0.294902503490448,0.2884625792503357,0.07007703930139542,0.05663277953863144,0.05425376817584038
4,129,64,136,152,112,0.21315725147724152,0.11163739114999771,0.10802563279867172,0.07276485860347748,0.06455912441015244
5,112,136,113,64,195,0.31582027673721313,0.24128182232379913,0.0964919924736023,0.07570767402648926,0.047917433083057404
6,195,138,104,115,43,0.2553233206272125,0.14782585203647614,0.08142329007387161,0.0785452201962471,0.0637490302324295
7,115,151,195,104,32,0.49542325735092163,0.1122686117887497,0.09787557274103165,0.05015356466174126,0.03913474455475807
8,164,43,71,162,140,0.7632974982261658,0.13486647605895996,0.016586031764745712,0.011796274222433567,0.011571775190532207
9,24,66,97,39,127,0.7052589654922485,0.10806107521057129,0.08914356678724289,0.029016444459557533,0.010992325842380524
10,55,164,43,204,80,0.42184582352638245,0.22369322180747986,0.13744841516017914,0.030351707711815834,0.029949435964226723
11,170,116,111,83,128,0.5245799422264099,0.04971393570303917,0.0453718826174736,0.028664853423833847,0.025739669799804688
12,136,112,113,198,129,0.28477510809898376,0.19358114898204803,0.12359286844730377,0.08377636969089508,0.0681147426366806
13,24,97,20,11,95,0.49225449562072754,0.20239242911338806,0.09562460333108902,0.09053073078393936,0.030695727095007896
14,97,24,195,66,167,0.5536095499992371,0.35744911432266235,0.011029444634914398,0.010428978130221367,0.007748429663479328
15,47,163,128,65,90,0.18254254758358002,0.15249007940292358,0.14120280742645264,0.08511753380298615,0.06552185863256454
16,22,102,176,156,144,0.20987382531166077,0.10339377820491791,0.09446986019611359,0.07625719159841537,0.06605765223503113
17,112,136,113,198,195,0.512890636920929,0.31233519315719604,0.085335873067379,0.0696491226553917,0.002680476289242506
18,181,138,104,43,120,0.7160254716873169,0.10581345856189728,0.027422994375228882,0.020815085619688034,0.020400112494826317
19,136,64,112,70,113,0.2531505823135376,0.21255946159362793,0.19653421640396118,0.08004920929670334,0.0565415620803833
20,43,115,139,149,104,0.7976421117782593,0.024653498083353043,0.02203710563480854,0.020360182970762253,0.019331874325871468
21,16,149,78,158,176,0.7364345788955688,0.2136254757642746,0.010383741930127144,0.00898706540465355,0.008169518783688545
22,195,138,154,55,43,0.39805692434310913,0.13525272905826569,0.10960450023412704,0.05872587114572525,0.0315609872341156
23,112,136,113,198,64,0.3103142976760864,0.26756882667541504,0.17910774052143097,0.03592371195554733,0.022367890924215317
24,112,136,64,70,198,0.45669350028038025,0.3756445646286011,0.038789551705121994,0.026375964283943176,0.02491881139576435
25,64,136,112,70,9,0.25286367535591125,0.13683106005191803,0.10451991856098175,0.08974005281925201,0.08878986537456512
26,24,66,97,112,136,0.8447427749633789,0.0952506810426712,0.05563895031809807,0.0014986117603257298,0.0008838538778945804
27,138,154,195,152,104,0.3866725265979767,0.2886306643486023,0.21206970512866974,0.014863232150673866,0.008799162693321705
28,97,167,24,71,136,0.33978378772735596,0.2384442836046219,0.22081275284290314,0.03292445093393326,0.015369102358818054
29,64,70,109,152,108,0.63686603307724,0.280790239572525,0.014099654741585255,0.013669589534401894,0.013573314063251019
30,136,24,112,97,195,0.20685791969299316,0.19734182953834534,0.17611457407474518,0.17276011407375336,0.0269472636282444
31,170,197,137,193,83,0.9403236508369446,0.010619414038956165,0.005439091939479113,0.004839320667088032,0.004659564234316349
32,64,136,112,70,97,0.21923956274986267,0.1927908957004547,0.18760046362876892,0.15654170513153076,0.06466050446033478
33,112,136,64,113,70,0.33862733840942383,0.27356064319610596,0.09121371805667877,0.05308793857693672,0.03841228783130646
34,57,138,195,113,115,0.6292916536331177,0.088521808385849,0.03831552714109421,0.03561783581972122,0.022711846977472305
35,195,154,138,4,121,0.2948012948036194,0.1319780796766281,0.07994628697633743,0.05209261178970337,0.04260377213358879
36,3,121,197,138,43,0.1732214391231537,0.08926170319318771,0.049797989428043365,0.049338288605213165,0.042074963450431824
37,112,136,64,70,24,0.2597511410713196,0.21483676135540009,0.12605388462543488,0.10757418721914291,0.05367469787597656
38,111,47,163,128,90,0.16204512119293213,0.1402023583650589,0.11257358640432358,0.10232201963663101,0.09462761133909225
39,115,171,21,130,184,0.13496829569339752,0.11660955846309662,0.08850575238466263,0.07552498579025269,0.05388081818819046
40,171,13,133,170,41,0.12938739359378815,0.10165305435657501,0.08359494060277939,0.0821664109826088,0.07424242794513702
41,151,115,130,56,13,0.19959573447704315,0.11373629420995712,0.10434571653604507,0.09923379123210907,0.08144344389438629
