,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,197,149,121,47,28,0.22855491936206818,0.17649447917938232,0.08824491500854492,0.056774891912937164,0.055073082447052
1,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295
2,8,129,9,93,136,0.11815185844898224,0.0738927498459816,0.07228592038154602,0.07129863649606705,0.07090304046869278
3,57,138,195,113,115,0.6292916536331177,0.088521808385849,0.03831552714109421,0.03561783581972122,0.022711846977472305
4,64,70,109,152,108,0.63686603307724,0.280790239572525,0.014099654741585255,0.013669589534401894,0.013573314063251019
5,4,31,184,111,120,0.15146756172180176,0.10208643972873688,0.058739256113767624,0.05337177589535713,0.04673708975315094
6,47,128,163,90,102,0.2794998288154602,0.27717143297195435,0.06418190151453018,0.05414729565382004,0.05395517498254776
7,195,136,112,64,70,0.2632724642753601,0.1608915627002716,0.09767735004425049,0.0708407610654831,0.07033468782901764
8,90,65,102,47,111,0.1865217387676239,0.12226666510105133,0.09027373790740967,0.08049450814723969,0.07706241309642792
9,121,193,156,102,170,0.18204465508460999,0.10589790344238281,0.10132195800542831,0.0972776785492897,0.08750685304403305
10,90,47,128,156,170,0.1351052075624466,0.12149067223072052,0.12018927186727524,0.11807852983474731,0.10369601100683212
11,111,47,163,128,90,0.16204512119293213,0.1402023583650589,0.11257358640432358,0.10232201963663101,0.09462761133909225
12,151,195,55,115,204,0.19516631960868835,0.13431794941425323,0.12364418804645538,0.1162765622138977,0.1114334687590599
13,97,24,195,66,167,0.5536095499992371,0.35744911432266235,0.011029444634914398,0.010428978130221367,0.007748429663479328
14,97,24,93,160,95,0.18983781337738037,0.18348729610443115,0.07455708831548691,0.0660339891910553,0.05759410932660103
15,43,115,139,149,104,0.7976421117782593,0.024653498083353043,0.02203710563480854,0.020360182970762253,0.019331874325871468
16,24,97,136,112,11,0.3794615566730499,0.2407699078321457,0.14870727062225342,0.12588484585285187,0.07550109922885895
17,97,24,112,136,66,0.6671123504638672,0.2301507294178009,0.040958672761917114,0.025511767715215683,0.008682280778884888
18,109,108,70,64,136,0.355776309967041,0.277741402387619,0.10113445669412613,0.0918503999710083,0.02314450778067112
19,64,70,136,112,152,0.7229865193367004,0.2531900405883789,0.013076474890112877,0.0025434414856135845,0.0012816255912184715
20,151,115,130,56,13,0.19959573447704315,0.11373629420995712,0.10434571653604507,0.09923379123210907,0.08144344389438629
21,109,108,167,84,153,0.5300323367118835,0.32355791330337524,0.03281131386756897,0.0233425572514534,0.012312715873122215
22,197,121,171,90,170,0.17091523110866547,0.13604053854942322,0.08447636663913727,0.06795807182788849,0.06546607613563538
23,31,196,156,90,52,0.4671971797943115,0.3332422375679016,0.040185876190662384,0.034013159573078156,0.024990646168589592
24,31,90,196,156,47,0.3679814338684082,0.1616300791501999,0.07964251190423965,0.07824502885341644,0.04933125898241997
25,136,24,112,97,195,0.20685791969299316,0.19734182953834534,0.17611457407474518,0.17276011407375336,0.0269472636282444
26,195,154,138,152,26,0.5226446390151978,0.17821219563484192,0.06842446327209473,0.04395845904946327,0.012762175872921944
27,64,136,112,70,97,0.21923956274986267,0.1927908957004547,0.18760046362876892,0.15654170513153076,0.06466050446033478
