,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295
1,136,64,112,70,113,0.2531505823135376,0.21255946159362793,0.19653421640396118,0.08004920929670334,0.0565415620803833
2,64,70,136,112,152,0.7229865193367004,0.2531900405883789,0.013076474890112877,0.0025434414856135845,0.0012816255912184715
3,90,102,47,65,156,0.5867070555686951,0.060547035187482834,0.057236455380916595,0.04213515669107437,0.029097776859998703
4,136,112,97,195,64,0.2315523624420166,0.16183771193027496,0.15389104187488556,0.10140706598758698,0.07522930204868317
5,136,24,112,97,195,0.20685791969299316,0.19734182953834534,0.17611457407474518,0.17276011407375336,0.0269472636282444
6,24,112,136,97,66,0.3278605341911316,0.2748873829841614,0.18084542453289032,0.07459228485822678,0.041465550661087036
7,195,138,154,104,139,0.8168660402297974,0.05481674522161484,0.052666980773210526,0.010235614143311977,0.008198022842407227
8,170,197,137,193,83,0.9403236508369446,0.010619414038956165,0.005439091939479113,0.004839320667088032,0.004659564234316349
9,195,154,138,152,26,0.5226446390151978,0.17821219563484192,0.06842446327209473,0.04395845904946327,0.012762175872921944
10,64,136,112,70,97,0.21923956274986267,0.1927908957004547,0.18760046362876892,0.15654170513153076,0.06466050446033478
11,26,65,90,47,128,0.3363521993160248,0.2695024907588959,0.2412889003753662,0.031814321875572205,0.02784130536019802
12,43,115,139,149,104,0.7976421117782593,0.024653498083353043,0.02203710563480854,0.020360182970762253,0.019331874325871468
13,154,138,25,143,13,0.15703268349170685,0.15037134289741516,0.06259886175394058,0.05698298662900925,0.048293016850948334
14,8,129,9,93,136,0.11815185844898224,0.0738927498459816,0.07228592038154602,0.07129863649606705,0.07090304046869278
15,112,136,109,108,113,0.3133646547794342,0.26701879501342773,0.08737439662218094,0.05127822235226631,0.04438510537147522
16,121,122,35,193,197,0.3095475435256958,0.17869976162910461,0.14076507091522217,0.11170971393585205,0.062291838228702545
17,90,47,163,65,128,0.4485960900783539,0.14814889430999756,0.10151956230401993,0.08586569130420685,0.049974605441093445
18,24,97,112,136,66,0.7560129761695862,0.20660455524921417,0.009655442088842392,0.009287026710808277,0.0069696931168437
19,170,156,116,47,144,0.2322090119123459,0.13038073480129242,0.09448879212141037,0.06532099843025208,0.06095688417553902
20,138,195,115,104,151,0.21532270312309265,0.1868785172700882,0.06320351362228394,0.05913199856877327,0.05156362056732178
21,112,136,64,113,70,0.33862733840942383,0.27356064319610596,0.09121371805667877,0.05308793857693672,0.03841228783130646
22,195,154,138,4,121,0.2948012948036194,0.1319780796766281,0.07994628697633743,0.05209261178970337,0.04260377213358879
23,24,97,136,112,11,0.3794615566730499,0.2407699078321457,0.14870727062225342,0.12588484585285187,0.07550109922885895
24,3,121,197,138,43,0.1732214391231537,0.08926170319318771,0.049797989428043365,0.049338288605213165,0.042074963450431824
25,136,24,112,195,66,0.18701334297657013,0.15119247138500214,0.13782410323619843,0.1202770322561264,0.07190758734941483
26,115,75,43,91,55,0.15809543430805206,0.08719832450151443,0.08361800014972687,0.07401436567306519,0.07388864457607269
27,167,45,46,24,97,0.1597783863544464,0.14304450154304504,0.07767782360315323,0.07726772129535675,0.05780867487192154
28,128,195,47,25,91,0.10014267265796661,0.09220908582210541,0.07452694326639175,0.05469043180346489,0.05358686298131943
29,47,128,163,161,156,0.3246959149837494,0.16427215933799744,0.13425633311271667,0.05364258214831352,0.050811588764190674
30,195,113,181,138,97,0.45093172788619995,0.04770229011774063,0.040721673518419266,0.03723766282200813,0.029471123591065407
31,24,97,195,66,11,0.8266401290893555,0.10244085639715195,0.016909204423427582,0.012780876830220222,0.007252264767885208
32,22,102,176,156,144,0.20987382531166077,0.10339377820491791,0.09446986019611359,0.07625719159841537,0.06605765223503113
33,164,55,204,115,151,0.36933618783950806,0.15429551899433136,0.07993566989898682,0.053127072751522064,0.04907659813761711
34,195,55,151,115,43,0.17894026637077332,0.10994042456150055,0.10544504970312119,0.10111723095178604,0.09657201170921326
35,55,164,91,194,80,0.42003512382507324,0.16917361319065094,0.07803145796060562,0.07065388560295105,0.04562147706747055
36,43,151,104,32,75,0.16993151605129242,0.07512497156858444,0.070656418800354,0.04374655336141586,0.03707222267985344
37,24,97,66,112,11,0.5141041278839111,0.46224936842918396,0.016398493200540543,0.0017755806911736727,0.00141623814124614
38,24,66,97,112,136,0.8447427749633789,0.0952506810426712,0.05563895031809807,0.0014986117603257298,0.0008838538778945804
39,181,104,43,138,115,0.280657559633255,0.08747263997793198,0.08242157101631165,0.07659649848937988,0.06714832037687302
40,163,102,47,128,111,0.27017366886138916,0.20679867267608643,0.17287921905517578,0.15065066516399384,0.048915963619947433
41,90,47,102,128,65,0.5416523218154907,0.07486848533153534,0.053928084671497345,0.040532343089580536,0.03406260162591934
42,138,71,164,67,204,0.1347844898700714,0.11456280946731567,0.09438873827457428,0.0856497585773468,0.06560956686735153
43,138,204,91,194,195,0.5556527376174927,0.1090824156999588,0.07149443030357361,0.0536864772439003,0.029011497274041176
