,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,25,78,28,149,195,0.10951926559209824,0.09567813575267792,0.07969740033149719,0.0719345360994339,0.06753655523061752
1,24,97,95,66,11,0.6501061916351318,0.26872748136520386,0.033361390233039856,0.028312619775533676,0.012553170323371887
2,121,122,35,193,197,0.3095475435256958,0.17869976162910461,0.14076507091522217,0.11170971393585205,0.062291838228702545
3,3,121,197,138,43,0.1732214391231537,0.08926170319318771,0.049797989428043365,0.049338288605213165,0.042074963450431824
4,112,136,113,198,64,0.3103142976760864,0.26756882667541504,0.17910774052143097,0.03592371195554733,0.022367890924215317
5,115,151,195,104,32,0.49542325735092163,0.1122686117887497,0.09787557274103165,0.05015356466174126,0.03913474455475807
6,164,55,43,162,186,0.16985288262367249,0.12193958461284637,0.10718275606632233,0.06836658716201782,0.06650708615779877
7,195,138,120,154,43,0.3434893488883972,0.1154845580458641,0.08498302847146988,0.06322720646858215,0.03079049289226532
8,112,11,136,24,97,0.3211573660373688,0.23964044451713562,0.16490226984024048,0.07794909179210663,0.05931766703724861
9,24,97,195,66,11,0.8266401290893555,0.10244085639715195,0.016909204423427582,0.012780876830220222,0.007252264767885208
10,138,195,71,113,136,0.22437620162963867,0.21080872416496277,0.1411733329296112,0.0822032019495964,0.06357182562351227
11,24,97,20,11,95,0.49225449562072754,0.20239242911338806,0.09562460333108902,0.09053073078393936,0.030695727095007896
12,65,163,47,128,90,0.29830217361450195,0.20031046867370605,0.11093632131814957,0.09731604158878326,0.04703931510448456
13,22,102,176,156,144,0.20987382531166077,0.10339377820491791,0.09446986019611359,0.07625719159841537,0.06605765223503113
14,195,71,138,57,204,0.19645634293556213,0.1451464742422104,0.1303960382938385,0.12274451553821564,0.09256599098443985
15,181,138,104,43,120,0.7160254716873169,0.10581345856189728,0.027422994375228882,0.020815085619688034,0.020400112494826317
16,24,97,66,11,112,0.5496138334274292,0.44186896085739136,0.006538573652505875,0.0014472354669123888,0.00011887562868651003
17,97,24,93,160,95,0.18983781337738037,0.18348729610443115,0.07455708831548691,0.0660339891910553,0.05759410932660103
18,105,24,66,97,95,0.49341291189193726,0.23286095261573792,0.12200919538736343,0.07334298640489578,0.055163782089948654
19,16,149,78,158,176,0.7364345788955688,0.2136254757642746,0.010383741930127144,0.00898706540465355,0.008169518783688545
20,65,22,90,25,128,0.2522750496864319,0.21570971608161926,0.14798887073993683,0.0648859366774559,0.0425841324031353
21,24,97,66,11,112,0.7353578805923462,0.22720718383789062,0.029879843816161156,0.005602694116532803,0.0004011928685940802
22,24,97,66,112,11,0.5141041278839111,0.46224936842918396,0.016398493200540543,0.0017755806911736727,0.00141623814124614
23,112,136,113,198,195,0.512890636920929,0.31233519315719604,0.085335873067379,0.0696491226553917,0.002680476289242506
24,195,138,154,55,43,0.39805692434310913,0.13525272905826569,0.10960450023412704,0.05872587114572525,0.0315609872341156
25,112,136,64,70,198,0.45669350028038025,0.3756445646286011,0.038789551705121994,0.026375964283943176,0.02491881139576435
26,64,136,112,70,9,0.25286367535591125,0.13683106005191803,0.10451991856098175,0.08974005281925201,0.08878986537456512
27,24,66,97,112,136,0.8447427749633789,0.0952506810426712,0.05563895031809807,0.0014986117603257298,0.0008838538778945804
28,138,154,195,152,104,0.3866725265979767,0.2886306643486023,0.21206970512866974,0.014863232150673866,0.008799162693321705
29,97,167,24,71,136,0.33978378772735596,0.2384442836046219,0.22081275284290314,0.03292445093393326,0.015369102358818054
30,195,136,112,64,70,0.2632724642753601,0.1608915627002716,0.09767735004425049,0.0708407610654831,0.07033468782901764
31,90,65,102,47,111,0.1865217387676239,0.12226666510105133,0.09027373790740967,0.08049450814723969,0.07706241309642792
32,121,193,156,102,170,0.18204465508460999,0.10589790344238281,0.10132195800542831,0.0972776785492897,0.08750685304403305
33,90,102,47,65,156,0.5867070555686951,0.060547035187482834,0.057236455380916595,0.04213515669107437,0.029097776859998703
34,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295
35,136,24,112,97,195,0.20685791969299316,0.19734182953834534,0.17611457407474518,0.17276011407375336,0.0269472636282444
36,195,138,154,104,139,0.8168660402297974,0.05481674522161484,0.052666980773210526,0.010235614143311977,0.008198022842407227
37,90,47,102,128,65,0.5416523218154907,0.07486848533153534,0.053928084671497345,0.040532343089580536,0.03406260162591934
38,8,129,9,93,136,0.11815185844898224,0.0738927498459816,0.07228592038154602,0.07129863649606705,0.07090304046869278
39,170,156,116,47,144,0.2322090119123459,0.13038073480129242,0.09448879212141037,0.06532099843025208,0.06095688417553902
40,115,171,21,130,184,0.13496829569339752,0.11660955846309662,0.08850575238466263,0.07552498579025269,0.05388081818819046
41,151,115,130,56,13,0.19959573447704315,0.11373629420995712,0.10434571653604507,0.09923379123210907,0.08144344389438629
42,129,64,136,152,112,0.21315725147724152,0.11163739114999771,0.10802563279867172,0.07276485860347748,0.06455912441015244
43,43,115,139,149,104,0.7976421117782593,0.024653498083353043,0.02203710563480854,0.020360182970762253,0.019331874325871468
44,138,55,194,91,204,0.32810741662979126,0.17638856172561646,0.10443560779094696,0.08095435798168182,0.07924990355968475
45,47,128,163,90,102,0.2794998288154602,0.27717143297195435,0.06418190151453018,0.05414729565382004,0.05395517498254776
46,31,90,196,156,47,0.3679814338684082,0.1616300791501999,0.07964251190423965,0.07824502885341644,0.04933125898241997
47,136,112,97,195,64,0.2315523624420166,0.16183771193027496,0.15389104187488556,0.10140706598758698,0.07522930204868317
