,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,24,97,95,66,11,0.6501061916351318,0.26872748136520386,0.033361390233039856,0.028312619775533676,0.012553170323371887
1,43,115,139,149,104,0.7976421117782593,0.024653498083353043,0.02203710563480854,0.020360182970762253,0.019331874325871468
2,26,65,90,47,128,0.3363521993160248,0.2695024907588959,0.2412889003753662,0.031814321875572205,0.02784130536019802
3,171,13,133,170,41,0.12938739359378815,0.10165305435657501,0.08359494060277939,0.0821664109826088,0.07424242794513702
4,112,11,136,24,97,0.3211573660373688,0.23964044451713562,0.16490226984024048,0.07794909179210663,0.05931766703724861
5,24,97,20,11,95,0.49225449562072754,0.20239242911338806,0.09562460333108902,0.09053073078393936,0.030695727095007896
6,97,24,195,66,167,0.5536095499992371,0.35744911432266235,0.011029444634914398,0.010428978130221367,0.007748429663479328
7,22,102,176,156,144,0.20987382531166077,0.10339377820491791,0.09446986019611359,0.07625719159841537,0.06605765223503113
8,57,94,13,151,98,0.3102722764015198,0.15982703864574432,0.0945662334561348,0.08402649313211441,0.06055573746562004
9,181,138,104,43,120,0.7160254716873169,0.10581345856189728,0.027422994375228882,0.020815085619688034,0.020400112494826317
10,137,83,82,204,116,0.7805168628692627,0.10371166467666626,0.030452534556388855,0.017723802477121353,0.0145437465980649
11,105,24,66,97,95,0.49341291189193726,0.23286095261573792,0.12200919538736343,0.07334298640489578,0.055163782089948654
12,22,115,65,144,104,0.3429197669029236,0.10857830196619034,0.09358061850070953,0.08193414658308029,0.04642532393336296
13,24,97,136,112,11,0.3794615566730499,0.2407699078321457,0.14870727062225342,0.12588484585285187,0.07550109922885895
14,112,136,109,108,64,0.3189184367656708,0.20014581084251404,0.13199982047080994,0.112531878054142,0.05763192102313042
15,24,97,66,11,112,0.7353578805923462,0.22720718383789062,0.029879843816161156,0.005602694116532803,0.0004011928685940802
16,115,204,162,94,41,0.24059931933879852,0.06799224764108658,0.058369703590869904,0.054992616176605225,0.046198610216379166
17,24,97,66,112,11,0.5141041278839111,0.46224936842918396,0.016398493200540543,0.0017755806911736727,0.00141623814124614
18,195,138,154,55,43,0.39805692434310913,0.13525272905826569,0.10960450023412704,0.05872587114572525,0.0315609872341156
19,112,136,64,70,198,0.45669350028038025,0.3756445646286011,0.038789551705121994,0.026375964283943176,0.02491881139576435
20,138,154,195,152,104,0.3866725265979767,0.2886306643486023,0.21206970512866974,0.014863232150673866,0.008799162693321705
21,97,167,24,71,136,0.33978378772735596,0.2384442836046219,0.22081275284290314,0.03292445093393326,0.015369102358818054
22,197,121,171,90,170,0.17091523110866547,0.13604053854942322,0.08447636663913727,0.06795807182788849,0.06546607613563538
23,164,151,67,162,204,0.18567968904972076,0.17344430088996887,0.13862234354019165,0.11497895419597626,0.09851568937301636
24,121,193,156,102,170,0.18204465508460999,0.10589790344238281,0.10132195800542831,0.0972776785492897,0.08750685304403305
25,90,102,47,65,156,0.5867070555686951,0.060547035187482834,0.057236455380916595,0.04213515669107437,0.029097776859998703
26,195,138,154,104,139,0.8168660402297974,0.05481674522161484,0.052666980773210526,0.010235614143311977,0.008198022842407227
27,195,154,138,152,26,0.5226446390151978,0.17821219563484192,0.06842446327209473,0.04395845904946327,0.012762175872921944
28,138,195,115,104,151,0.21532270312309265,0.1868785172700882,0.06320351362228394,0.05913199856877327,0.05156362056732178
29,111,47,163,128,90,0.16204512119293213,0.1402023583650589,0.11257358640432358,0.10232201963663101,0.09462761133909225
30,112,136,85,64,70,0.294902503490448,0.2884625792503357,0.07007703930139542,0.05663277953863144,0.05425376817584038
31,129,64,136,152,112,0.21315725147724152,0.11163739114999771,0.10802563279867172,0.07276485860347748,0.06455912441015244
32,136,112,113,198,129,0.28477510809898376,0.19358114898204803,0.12359286844730377,0.08377636969089508,0.0681147426366806
33,163,102,47,128,111,0.27017366886138916,0.20679867267608643,0.17287921905517578,0.15065066516399384,0.048915963619947433
34,90,47,102,128,65,0.5416523218154907,0.07486848533153534,0.053928084671497345,0.040532343089580536,0.03406260162591934
35,112,136,109,108,113,0.3133646547794342,0.26701879501342773,0.08737439662218094,0.05127822235226631,0.04438510537147522
36,136,24,112,195,66,0.18701334297657013,0.15119247138500214,0.13782410323619843,0.1202770322561264,0.07190758734941483
37,112,136,64,70,113,0.3074418008327484,0.19235678017139435,0.14277611672878265,0.06513946503400803,0.046959977596998215
38,112,136,113,64,195,0.31582027673721313,0.24128182232379913,0.0964919924736023,0.07570767402648926,0.047917433083057404
