,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,65,163,47,128,90,0.29830217361450195,0.20031046867370605,0.11093632131814957,0.09731604158878326,0.04703931510448456
1,38,141,138,28,204,0.2535858452320099,0.11448289453983307,0.10805080085992813,0.0660216212272644,0.03819723799824715
2,55,194,80,91,131,0.38595637679100037,0.1135544404387474,0.10259922593832016,0.08404669165611267,0.07747171819210052
3,112,136,109,108,113,0.3133646547794342,0.26701879501342773,0.08737439662218094,0.05127822235226631,0.04438510537147522
4,121,122,35,193,197,0.3095475435256958,0.17869976162910461,0.14076507091522217,0.11170971393585205,0.062291838228702545
5,138,195,115,104,151,0.21532270312309265,0.1868785172700882,0.06320351362228394,0.05913199856877327,0.05156362056732178
6,3,121,197,138,43,0.1732214391231537,0.08926170319318771,0.049797989428043365,0.049338288605213165,0.042074963450431824
7,136,24,112,195,66,0.18701334297657013,0.15119247138500214,0.13782410323619843,0.1202770322561264,0.07190758734941483
8,164,71,43,67,140,0.49775829911231995,0.2619023621082306,0.07616468518972397,0.04096049815416336,0.020901769399642944
9,24,97,66,112,11,0.5141041278839111,0.46224936842918396,0.016398493200540543,0.0017755806911736727,0.00141623814124614
10,24,97,66,11,112,0.7268744707107544,0.2597235143184662,0.008501317352056503,0.0029759984463453293,0.0004166005237493664
11,151,67,115,204,71,0.24397048354148865,0.11926187574863434,0.11025253683328629,0.09189821779727936,0.06353972852230072
12,197,121,171,90,170,0.17091523110866547,0.13604053854942322,0.08447636663913727,0.06795807182788849,0.06546607613563538
13,31,196,156,90,52,0.4671971797943115,0.3332422375679016,0.040185876190662384,0.034013159573078156,0.024990646168589592
14,47,128,163,90,102,0.2794998288154602,0.27717143297195435,0.06418190151453018,0.05414729565382004,0.05395517498254776
15,31,90,196,156,47,0.3679814338684082,0.1616300791501999,0.07964251190423965,0.07824502885341644,0.04933125898241997
16,90,47,128,156,170,0.1351052075624466,0.12149067223072052,0.12018927186727524,0.11807852983474731,0.10369601100683212
17,24,97,66,112,136,0.5431169867515564,0.11780913919210434,0.11526353657245636,0.05123577266931534,0.02949766255915165
18,136,112,97,195,64,0.2315523624420166,0.16183771193027496,0.15389104187488556,0.10140706598758698,0.07522930204868317
19,154,138,25,143,13,0.15703268349170685,0.15037134289741516,0.06259886175394058,0.05698298662900925,0.048293016850948334
20,8,129,9,93,136,0.11815185844898224,0.0738927498459816,0.07228592038154602,0.07129863649606705,0.07090304046869278
