,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,25,78,28,149,195,0.10951926559209824,0.09567813575267792,0.07969740033149719,0.0719345360994339,0.06753655523061752
1,195,113,181,138,97,0.45093172788619995,0.04770229011774063,0.040721673518419266,0.03723766282200813,0.029471123591065407
2,112,136,113,198,195,0.512890636920929,0.31233519315719604,0.085335873067379,0.0696491226553917,0.002680476289242506
3,195,138,120,154,43,0.3434893488883972,0.1154845580458641,0.08498302847146988,0.06322720646858215,0.03079049289226532
4,181,139,43,204,115,0.2160540521144867,0.15459519624710083,0.06390110403299332,0.06254386156797409,0.057468850165605545
5,55,80,7,28,91,0.1776662915945053,0.1322804093360901,0.07894532382488251,0.060993485152721405,0.05235530063509941
6,170,116,111,83,128,0.5245799422264099,0.04971393570303917,0.0453718826174736,0.028664853423833847,0.025739669799804688
7,24,97,20,11,95,0.49225449562072754,0.20239242911338806,0.09562460333108902,0.09053073078393936,0.030695727095007896
8,38,141,138,28,204,0.2535858452320099,0.11448289453983307,0.10805080085992813,0.0660216212272644,0.03819723799824715
9,138,55,204,154,195,0.6354683637619019,0.10401330143213272,0.04876663535833359,0.045098014175891876,0.030791815370321274
10,154,138,104,152,57,0.5240920782089233,0.15057840943336487,0.07440772652626038,0.04870230332016945,0.04641426354646683
11,47,163,128,65,90,0.18254254758358002,0.15249007940292358,0.14120280742645264,0.08511753380298615,0.06552185863256454
12,22,102,176,156,144,0.20987382531166077,0.10339377820491791,0.09446986019611359,0.07625719159841537,0.06605765223503113
13,24,11,97,127,136,0.722051739692688,0.12298153340816498,0.07535665482282639,0.03072199784219265,0.008574185892939568
14,197,149,121,47,28,0.22855491936206818,0.17649447917938232,0.08824491500854492,0.056774891912937164,0.055073082447052
15,75,151,13,115,32,0.27632349729537964,0.20383957028388977,0.10039876401424408,0.0792926549911499,0.0607888400554657
16,57,94,13,151,98,0.3102722764015198,0.15982703864574432,0.0945662334561348,0.08402649313211441,0.06055573746562004
17,164,55,204,115,151,0.36933618783950806,0.15429551899433136,0.07993566989898682,0.053127072751522064,0.04907659813761711
18,195,71,138,57,204,0.19645634293556213,0.1451464742422104,0.1303960382938385,0.12274451553821564,0.09256599098443985
19,24,97,66,11,112,0.5496138334274292,0.44186896085739136,0.006538573652505875,0.0014472354669123888,0.00011887562868651003
20,64,136,112,70,113,0.24984820187091827,0.24019686877727509,0.1975567787885666,0.11490483582019806,0.04749742150306702
21,97,24,93,160,95,0.18983781337738037,0.18348729610443115,0.07455708831548691,0.0660339891910553,0.05759410932660103
22,138,43,104,57,67,0.1813097894191742,0.17691493034362793,0.08670882880687714,0.07329200208187103,0.059021372348070145
23,55,164,91,194,80,0.42003512382507324,0.16917361319065094,0.07803145796060562,0.07065388560295105,0.04562147706747055
24,79,141,38,121,149,0.1416919231414795,0.1009095311164856,0.08428074419498444,0.08256658166646957,0.05371708422899246
25,115,80,81,104,133,0.22351805865764618,0.12831717729568481,0.06511642038822174,0.05647053197026253,0.044009096920490265
26,115,80,81,104,133,0.22351805865764618,0.12831717729568481,0.06511642038822174,0.05647053197026253,0.044009096920490265
27,105,24,66,97,95,0.49341291189193726,0.23286095261573792,0.12200919538736343,0.07334298640489578,0.055163782089948654
28,108,109,84,64,70,0.50882488489151,0.38532117009162903,0.057789843529462814,0.016947967931628227,0.013219064101576805
29,64,24,97,112,136,0.2365739345550537,0.15886515378952026,0.11261902749538422,0.10291192680597305,0.09874528646469116
30,16,149,78,158,176,0.7364345788955688,0.2136254757642746,0.010383741930127144,0.00898706540465355,0.008169518783688545
31,115,43,55,151,204,0.39667809009552,0.08688785135746002,0.05134744197130203,0.03630705550312996,0.03595076873898506
32,112,136,109,108,64,0.3189184367656708,0.20014581084251404,0.13199982047080994,0.112531878054142,0.05763192102313042
33,65,22,90,25,128,0.2522750496864319,0.21570971608161926,0.14798887073993683,0.0648859366774559,0.0425841324031353
34,115,204,162,94,41,0.24059931933879852,0.06799224764108658,0.058369703590869904,0.054992616176605225,0.046198610216379166
35,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295
36,112,136,64,70,198,0.45669350028038025,0.3756445646286011,0.038789551705121994,0.026375964283943176,0.02491881139576435
37,112,136,64,70,195,0.3755458891391754,0.2264406681060791,0.07653670012950897,0.07238057255744934,0.0568448007106781
38,64,136,112,70,9,0.25286367535591125,0.13683106005191803,0.10451991856098175,0.08974005281925201,0.08878986537456512
39,170,4,169,168,131,0.9011245965957642,0.04107072576880455,0.015888003632426262,0.007104917429387569,0.005036358721554279
40,24,66,97,112,136,0.8447427749633789,0.0952506810426712,0.05563895031809807,0.0014986117603257298,0.0008838538778945804
41,138,154,195,152,104,0.3866725265979767,0.2886306643486023,0.21206970512866974,0.014863232150673866,0.008799162693321705
42,25,65,132,148,31,0.21894235908985138,0.08007099479436874,0.06051812693476677,0.054712869226932526,0.05189024284482002
43,24,66,97,11,174,0.7353065609931946,0.12669751048088074,0.060804933309555054,0.03729214519262314,0.008235437795519829
44,136,64,112,70,113,0.2531505823135376,0.21255946159362793,0.19653421640396118,0.08004920929670334,0.0565415620803833
