,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,35,68,121,69,106,0.1291600912809372,0.10538675636053085,0.05509164184331894,0.0532248392701149,0.04773900657892227
1,112,136,195,129,154,0.11483044922351837,0.10365714132785797,0.09105727076530457,0.08824115991592407,0.06181680038571358
2,109,108,93,64,70,0.35899949073791504,0.18150421977043152,0.09152843058109283,0.060084957629442215,0.05965470150113106
3,136,113,112,18,152,0.19411791861057281,0.15252405405044556,0.09087345749139786,0.06743089109659195,0.04908079281449318
4,136,112,64,70,198,0.4996553361415863,0.26572296023368835,0.08188404142856598,0.039761047810316086,0.02172059193253517
5,112,136,97,198,64,0.4197211265563965,0.22240667045116425,0.08872193843126297,0.07956843078136444,0.033611588180065155
6,171,184,170,122,130,0.17236930131912231,0.1270630806684494,0.08685396611690521,0.06546179950237274,0.05948682501912117
7,24,112,136,127,66,0.32779431343078613,0.2957492768764496,0.21046240627765656,0.053603608161211014,0.030756821855902672
8,24,66,97,112,95,0.586295485496521,0.30526202917099,0.05270904302597046,0.018892284482717514,0.010194661095738411
9,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295
10,154,138,195,104,181,0.2691715359687805,0.26001763343811035,0.07543285936117172,0.033778369426727295,0.026650434359908104
11,24,66,97,45,136,0.7332684993743896,0.18369272351264954,0.046561066061258316,0.00958196260035038,0.008683525025844574
12,24,97,66,112,136,0.5085955858230591,0.4372428357601166,0.04785003140568733,0.0012777787633240223,0.0010568846482783556
13,108,109,84,134,20,0.47161978483200073,0.38692232966423035,0.07442443072795868,0.015911201015114784,0.013760331086814404
14,154,138,25,143,13,0.15703268349170685,0.15037134289741516,0.06259886175394058,0.05698298662900925,0.048293016850948334
15,123,93,129,112,182,0.5170512199401855,0.19399522244930267,0.14418502151966095,0.025012394413352013,0.02250072918832302
16,90,171,156,184,65,0.20170286297798157,0.1359296292066574,0.13276858627796173,0.07194167375564575,0.06888847053050995
17,193,121,122,151,172,0.09064008295536041,0.08934594690799713,0.0846627801656723,0.07027323544025421,0.06989499181509018
18,67,151,162,71,57,0.16887536644935608,0.10021424293518066,0.0934392511844635,0.08454116433858871,0.06715462356805801
19,112,136,64,70,198,0.3201208710670471,0.197871595621109,0.09820263087749481,0.07668361812829971,0.05530185252428055
20,45,9,167,66,8,0.3427250385284424,0.18725372850894928,0.10916618257761002,0.06757451593875885,0.04533954709768295
21,24,97,112,136,66,0.7628814578056335,0.16338062286376953,0.017246995121240616,0.016231371089816093,0.01519319973886013
22,115,13,151,32,94,0.1515529453754425,0.10974103212356567,0.10272698104381561,0.091355100274086,0.0777890756726265
23,171,130,184,13,90,0.6214626431465149,0.12816819548606873,0.09956488758325577,0.04209122806787491,0.0313810296356678
24,24,97,127,95,9,0.35528770089149475,0.2636830508708954,0.16571900248527527,0.04679783433675766,0.03313218802213669
25,9,8,174,64,11,0.28656110167503357,0.09197592735290527,0.06607373803853989,0.05538308620452881,0.05536648631095886
26,97,109,112,108,136,0.2629549503326416,0.2503419518470764,0.12502208352088928,0.11169786751270294,0.06941673904657364
27,24,97,66,127,11,0.8311322331428528,0.15842154622077942,0.005306098610162735,0.0013807230861857533,0.0008460294338874519
28,112,136,145,198,24,0.3470420241355896,0.2588505744934082,0.055149685591459274,0.054364245384931564,0.03862445056438446
29,11,24,97,136,112,0.49809521436691284,0.35959991812705994,0.11034516245126724,0.00647524232044816,0.0059650735929608345
30,97,24,112,136,198,0.831673800945282,0.03780045360326767,0.03214012831449509,0.029842611402273178,0.017169151455163956
31,45,71,114,134,20,0.4625081419944763,0.1322825849056244,0.09772536903619766,0.07530844211578369,0.04549609497189522
32,24,97,112,136,66,0.6051722764968872,0.13827604055404663,0.0842667743563652,0.05290965363383293,0.03629821911454201
33,97,24,66,112,136,0.6286369562149048,0.346239298582077,0.014448599889874458,0.00422873068600893,0.0030643227510154247
34,167,45,20,71,24,0.4114059507846832,0.408485472202301,0.08137030899524689,0.03227708488702774,0.012857864610850811
35,138,154,57,55,91,0.5430127382278442,0.10956034809350967,0.0812152624130249,0.04215666651725769,0.03227871283888817
36,112,9,136,66,88,0.23228220641613007,0.20910754799842834,0.12127690017223358,0.04962275177240372,0.03979361802339554
37,24,66,97,112,136,0.5414493680000305,0.24937042593955994,0.13793940842151642,0.03257913142442703,0.015146652236580849
38,24,97,112,136,11,0.5333997011184692,0.3622523844242096,0.048205915838479996,0.036861591041088104,0.004738625138998032
39,64,70,136,109,108,0.6118992567062378,0.23060786724090576,0.02260313183069229,0.02023458667099476,0.019061367958784103
40,136,112,198,113,97,0.44926270842552185,0.4309937059879303,0.0475689060986042,0.027421921491622925,0.00959099642932415
41,109,108,93,112,129,0.2888619303703308,0.20111723244190216,0.10472309589385986,0.05085717514157295,0.04577835276722908
42,11,112,24,136,97,0.22088566422462463,0.21401822566986084,0.20655688643455505,0.14477139711380005,0.10676942765712738
43,55,80,183,194,91,0.3966049551963806,0.1936444640159607,0.09118270128965378,0.0866270437836647,0.08197852969169617
44,24,97,136,112,66,0.7724302411079407,0.08522729575634003,0.04467599093914032,0.038611266762018204,0.020813805982470512
45,104,120,115,98,151,0.24657972157001495,0.1609547734260559,0.10523279756307602,0.07158716022968292,0.040451742708683014
46,136,112,23,123,129,0.23934730887413025,0.1761397421360016,0.08440202474594116,0.08066806197166443,0.051468849182128906
47,154,195,138,152,25,0.3309630751609802,0.2508537173271179,0.1296537071466446,0.052490971982479095,0.0520523265004158
48,97,24,66,136,112,0.5055597424507141,0.4543587267398834,0.017844010144472122,0.006411670707166195,0.005090045742690563
49,24,97,112,66,136,0.5925518870353699,0.30725225806236267,0.03986213356256485,0.029017996042966843,0.02239222452044487
50,97,24,112,136,93,0.34703707695007324,0.3158615231513977,0.1677834689617157,0.1502334177494049,0.003246404929086566
51,24,97,66,11,95,0.6889451742172241,0.2705094516277313,0.014949880540370941,0.014606645330786705,0.007984924130141735
52,112,136,109,108,64,0.3829030990600586,0.30598869919776917,0.10491373389959335,0.08597885072231293,0.025033827871084213
53,138,195,2,57,204,0.3503488600254059,0.07905946671962738,0.076186902821064,0.07485897839069366,0.046512264758348465
54,109,108,84,136,153,0.3769024908542633,0.3570226728916168,0.07300107181072235,0.019752001389861107,0.01917734555900097
55,108,109,84,153,134,0.5172232389450073,0.37136322259902954,0.08149055391550064,0.011728575453162193,0.007023320533335209
56,136,112,64,70,198,0.4504997730255127,0.43935543298721313,0.032597433775663376,0.019223686307668686,0.01621842384338379
57,97,24,112,136,66,0.43435701727867126,0.3710392713546753,0.10841766744852066,0.056810587644577026,0.017860541120171547
