,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,133,21,41,0,57,0.11099644750356674,0.09841392934322357,0.09747051447629929,0.0889398530125618,0.08065324276685715
1,133,21,41,0,57,0.11099644750356674,0.09841392934322357,0.09747051447629929,0.0889398530125618,0.08065324276685715
2,64,70,136,112,24,0.2492399662733078,0.1407644897699356,0.13785479962825775,0.10727181285619736,0.05058473348617554
3,184,21,171,61,52,0.3427771031856537,0.2015504390001297,0.1001882553100586,0.07013346999883652,0.04136695712804794
4,97,24,136,11,112,0.4370686411857605,0.3786082863807678,0.04998768866062164,0.041694872081279755,0.03786692023277283
5,172,57,143,4,41,0.23344027996063232,0.07335861027240753,0.06534291803836823,0.048348963260650635,0.043675702065229416
6,112,136,64,70,198,0.4832417964935303,0.3295094668865204,0.057937610894441605,0.03614070266485214,0.03225826844573021
7,112,136,64,70,198,0.4832417964935303,0.3295094668865204,0.057937610894441605,0.03614070266485214,0.03225826844573021
8,112,136,198,70,195,0.5353957414627075,0.42177000641822815,0.018068384379148483,0.0036079499404877424,0.0034225857816636562
9,112,136,198,70,195,0.5353957414627075,0.42177000641822815,0.018068384379148483,0.0036079499404877424,0.0034225857816636562
10,112,136,64,70,24,0.5154493451118469,0.28593504428863525,0.05040224269032478,0.038225896656513214,0.016762614250183105
11,26,65,95,148,9,0.16300158202648163,0.08597377687692642,0.0667894035577774,0.03115542232990265,0.03096483089029789
12,64,70,109,136,108,0.383018434047699,0.3216794431209564,0.0966339036822319,0.07018198817968369,0.0555768720805645
13,112,136,198,70,195,0.5353957414627075,0.42177000641822815,0.018068384379148483,0.0036079499404877424,0.0034225857816636562
14,112,136,64,70,24,0.5154493451118469,0.28593504428863525,0.05040224269032478,0.038225896656513214,0.016762614250183105
15,112,136,198,70,195,0.5353957414627075,0.42177000641822815,0.018068384379148483,0.0036079499404877424,0.0034225857816636562
16,112,136,64,70,24,0.5154493451118469,0.28593504428863525,0.05040224269032478,0.038225896656513214,0.016762614250183105
17,64,70,85,112,136,0.38199812173843384,0.2992398738861084,0.05315933749079704,0.05025247856974602,0.04819617047905922
18,108,109,84,153,167,0.5702805519104004,0.33318957686424255,0.05667683482170105,0.011603591032326221,0.007533916737884283
19,108,109,136,167,112,0.31742072105407715,0.265117347240448,0.07520732283592224,0.05182511731982231,0.044339172542095184
20,26,65,95,148,9,0.16300158202648163,0.08597377687692642,0.0667894035577774,0.03115542232990265,0.03096483089029789
21,2,5,57,140,4,0.3401889204978943,0.12383721023797989,0.04375026375055313,0.030658304691314697,0.027255255728960037
22,2,5,57,140,4,0.3401889204978943,0.12383721023797989,0.04375026375055313,0.030658304691314697,0.027255255728960037
23,64,70,109,136,108,0.383018434047699,0.3216794431209564,0.0966339036822319,0.07018198817968369,0.0555768720805645
24,152,136,64,112,113,0.16203919053077698,0.15801098942756653,0.14041733741760254,0.08255191147327423,0.06562839448451996
25,152,136,64,112,113,0.16203919053077698,0.15801098942756653,0.14041733741760254,0.08255191147327423,0.06562839448451996
26,136,70,64,112,24,0.18376614153385162,0.14648446440696716,0.11490490287542343,0.10448076575994492,0.08318404108285904
27,129,105,50,123,114,0.1443484127521515,0.14280997216701508,0.08110953867435455,0.06193889304995537,0.05795040726661682
28,152,136,64,112,113,0.16203919053077698,0.15801098942756653,0.14041733741760254,0.08255191147327423,0.06562839448451996
29,136,70,64,112,24,0.18376614153385162,0.14648446440696716,0.11490490287542343,0.10448076575994492,0.08318404108285904
30,152,136,64,112,113,0.16203919053077698,0.15801098942756653,0.14041733741760254,0.08255191147327423,0.06562839448451996
31,136,70,64,112,24,0.18376614153385162,0.14648446440696716,0.11490490287542343,0.10448076575994492,0.08318404108285904
32,136,112,113,198,24,0.4763129651546478,0.37977439165115356,0.028056789189577103,0.019224215298891068,0.017571698874235153
33,136,112,70,64,109,0.23479461669921875,0.16434207558631897,0.12446435540914536,0.08930268883705139,0.06728367507457733
34,64,70,17,136,109,0.5076438188552856,0.2818385362625122,0.04337485507130623,0.03694423660635948,0.02706291154026985
