,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,184,90,21,171,133,0.21408963203430176,0.13947999477386475,0.11692489683628082,0.08703110367059708,0.04558989778161049
1,115,41,133,143,57,0.18364675343036652,0.11752976477146149,0.09053236246109009,0.05297247692942619,0.043054692447185516
2,133,21,41,61,125,0.17321932315826416,0.1073053628206253,0.09673453867435455,0.08045448362827301,0.05629435181617737
3,21,61,133,41,62,0.3889016807079315,0.11400751769542694,0.07572908699512482,0.06578530371189117,0.04947648197412491
4,184,32,130,21,56,0.09551538527011871,0.08795904368162155,0.0841330960392952,0.07815400511026382,0.06847257912158966
5,131,55,204,28,186,0.6383435130119324,0.060916025191545486,0.05016181990504265,0.03038359060883522,0.027400165796279907
6,81,41,4,184,171,0.24182415008544922,0.15763743221759796,0.1505422294139862,0.07629178464412689,0.04837488383054733
7,184,171,143,133,130,0.10680775344371796,0.09556777030229568,0.0734153762459755,0.05266318842768669,0.05200850963592529
8,41,133,184,21,0,0.17258808016777039,0.08921270072460175,0.08234133571386337,0.07930704206228256,0.06013544648885727
9,27,112,93,129,136,0.5277248620986938,0.07496066391468048,0.05007781460881233,0.04633842408657074,0.04336300492286682
10,138,154,194,195,91,0.29030829668045044,0.22922153770923615,0.07976406812667847,0.055378176271915436,0.0456102229654789
11,41,133,184,21,0,0.17258808016777039,0.08921270072460175,0.08234133571386337,0.07930704206228256,0.06013544648885727
12,41,90,21,61,133,0.07691659778356552,0.06588099151849747,0.05614495277404785,0.04898186773061752,0.041152141988277435
13,195,138,154,25,104,0.2918357253074646,0.23460838198661804,0.16212990880012512,0.03746373578906059,0.029890041798353195
14,41,184,90,170,21,0.1719558835029602,0.12344227731227875,0.07148163765668869,0.06098470836877823,0.060192953795194626
15,64,136,108,109,70,0.17822417616844177,0.13255031406879425,0.09771007299423218,0.07318608462810516,0.0679457038640976
16,21,61,184,62,171,0.24333755671977997,0.12102790921926498,0.11243776977062225,0.059245429933071136,0.04925118759274483
17,41,115,133,21,0,0.1259153038263321,0.09831932932138443,0.08822371065616608,0.07102899253368378,0.05589567497372627
18,97,24,136,112,64,0.49503645300865173,0.34754133224487305,0.03809750825166702,0.03136333078145981,0.010738412849605083
19,184,171,133,41,130,0.12070067971944809,0.10519864410161972,0.10334117710590363,0.08618807792663574,0.05524686723947525
20,21,184,41,171,133,0.1818573772907257,0.16673676669597626,0.09867697209119797,0.07165191322565079,0.06997745484113693
21,21,61,62,32,133,0.5004559755325317,0.26597025990486145,0.0676008015871048,0.027499735355377197,0.02241877093911171
22,26,168,90,98,181,0.23649778962135315,0.08407346904277802,0.07677201926708221,0.051962804049253464,0.03753826767206192
