,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,57,133,32,143,130,0.25899219512939453,0.18980905413627625,0.08500903844833374,0.055091388523578644,0.053983159363269806
1,112,136,64,11,93,0.4365193843841553,0.1787687987089157,0.09405641257762909,0.05962340906262398,0.029914429411292076
2,136,112,195,198,138,0.4609188437461853,0.3441123068332672,0.06767192482948303,0.019377809017896652,0.01756790652871132
3,130,195,113,136,57,0.1297266185283661,0.07671777158975601,0.07071015238761902,0.05594928190112114,0.054172057658433914
4,171,90,170,130,184,0.15899311006069183,0.13494433462619781,0.10999784618616104,0.09351833909749985,0.06591896712779999
5,171,184,130,90,156,0.5729227066040039,0.18899297714233398,0.06438206136226654,0.026181671768426895,0.025138908997178078
6,184,171,4,170,111,0.7733080387115479,0.04937920346856117,0.04738438501954079,0.03423153609037399,0.019229823723435402
7,65,31,156,196,181,0.1274058222770691,0.11275167763233185,0.09219666570425034,0.070468008518219,0.07007984071969986
8,90,65,156,133,25,0.3111342787742615,0.2358051836490631,0.05245516821742058,0.038578201085329056,0.034839238971471786
9,90,184,171,31,65,0.23896193504333496,0.16619572043418884,0.08378976583480835,0.07392077893018723,0.058999836444854736
10,184,90,156,65,31,0.2919428050518036,0.13415750861167908,0.1143631562590599,0.06472212821245193,0.0403447151184082
11,184,171,31,21,7,0.8438886404037476,0.07400202006101608,0.013757613487541676,0.011436930857598782,0.007701551076024771
12,24,112,136,66,138,0.32011470198631287,0.1703917235136032,0.14668020606040955,0.07576481252908707,0.03688230365514755
13,195,138,25,104,184,0.14908497035503387,0.11671797931194305,0.07524503767490387,0.043146442621946335,0.03689739853143692
14,184,171,52,199,31,0.2896612584590912,0.11901571601629257,0.11279870569705963,0.10256354510784149,0.05638822913169861
15,184,171,130,32,75,0.1616465449333191,0.14295552670955658,0.10983936488628387,0.09402412921190262,0.07322394847869873
16,21,184,171,130,61,0.2789076864719391,0.11780152469873428,0.10577641427516937,0.06398626416921616,0.06374829262495041
17,184,4,171,52,21,0.6494911313056946,0.05422982573509216,0.050361424684524536,0.04249037429690361,0.03082570992410183
18,184,4,132,7,171,0.1772090494632721,0.0935433954000473,0.08591572940349579,0.07812438905239105,0.054458100348711014
19,184,171,45,7,46,0.18171757459640503,0.17577138543128967,0.08936445415019989,0.05501122400164604,0.04372486472129822
20,184,21,143,171,61,0.3527839481830597,0.155647873878479,0.0777648463845253,0.07669541984796524,0.056370653212070465
21,2,5,57,140,171,0.3216549754142761,0.11432115733623505,0.041890695691108704,0.033994995057582855,0.03341701999306679
22,171,184,130,21,32,0.3280276656150818,0.2266269475221634,0.10652709007263184,0.05857674032449722,0.03912832587957382
23,112,136,198,113,64,0.5026978254318237,0.3904295563697815,0.05173994228243828,0.015785183757543564,0.007537608500570059
24,104,152,154,120,168,0.07740751653909683,0.058094196021556854,0.053884875029325485,0.049581706523895264,0.04697620868682861
25,143,80,138,91,133,0.12262286245822906,0.10508304834365845,0.046084094792604446,0.044040799140930176,0.04156260937452316
26,184,21,61,4,133,0.29416903853416443,0.19881781935691833,0.08260168880224228,0.05372510105371475,0.05320809409022331
27,112,136,97,24,198,0.4228401780128479,0.41922712326049805,0.06348321586847305,0.03895757719874382,0.014302322641015053
28,184,31,171,170,196,0.49482622742652893,0.16653217375278473,0.051643967628479004,0.04722171276807785,0.03489174321293831
29,24,97,112,127,136,0.32151278853416443,0.28473860025405884,0.08057795464992523,0.058258943259716034,0.05058976262807846
30,24,97,11,66,95,0.6632088422775269,0.3031541407108307,0.015472272410988808,0.014395304024219513,0.0007712157093919814
31,167,181,195,98,138,0.18475516140460968,0.1074279323220253,0.10167060792446136,0.04145587235689163,0.037507884204387665
32,184,90,156,65,31,0.2919428050518036,0.13415750861167908,0.1143631562590599,0.06472212821245193,0.0403447151184082
33,184,171,130,4,52,0.5594049692153931,0.20971615612506866,0.04154480621218681,0.030613973736763,0.019877705723047256
34,97,24,112,136,167,0.4134085774421692,0.2924979329109192,0.07151993364095688,0.0600186288356781,0.033432748168706894
35,184,21,133,171,32,0.3307158946990967,0.0956416204571724,0.05517522618174553,0.04956508055329323,0.04290921986103058
36,138,154,31,25,184,0.09142480045557022,0.07123361527919769,0.06535221636295319,0.05581950396299362,0.04874790459871292
37,184,171,52,31,7,0.6725136041641235,0.10362987220287323,0.04471450299024582,0.02722102776169777,0.02592942677438259
38,184,171,132,130,21,0.8121136426925659,0.1018371731042862,0.01779663935303688,0.0138168316334486,0.00627430435270071
39,21,61,41,184,133,0.15706448256969452,0.10835635662078857,0.10029594600200653,0.09119552373886108,0.06993625313043594
