,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,97,24,112,136,167,0.4134085774421692,0.2924979329109192,0.07151993364095688,0.0600186288356781,0.033432748168706894
1,97,24,112,136,167,0.4134085774421692,0.2924979329109192,0.07151993364095688,0.0600186288356781,0.033432748168706894
2,41,184,13,133,21,0.08973370492458344,0.07212801277637482,0.0657636970281601,0.05211203545331955,0.04869581013917923
3,184,130,92,52,171,0.07065977156162262,0.054609429091215134,0.051398180425167084,0.04666469246149063,0.0460612028837204
4,184,171,133,41,130,0.12070067971944809,0.10519864410161972,0.10334117710590363,0.08618807792663574,0.05524686723947525
5,171,90,170,130,184,0.15899311006069183,0.13494433462619781,0.10999784618616104,0.09351833909749985,0.06591896712779999
6,21,184,41,171,133,0.1818573772907257,0.16673676669597626,0.09867697209119797,0.07165191322565079,0.06997745484113693
7,170,90,184,65,31,0.27681219577789307,0.10995657742023468,0.08700855821371078,0.04931297153234482,0.049307338893413544
8,90,65,156,133,25,0.3111342787742615,0.2358051836490631,0.05245516821742058,0.038578201085329056,0.034839238971471786
9,171,170,130,184,13,0.14712083339691162,0.14610755443572998,0.12404725700616837,0.10777562856674194,0.08284370601177216
10,184,21,171,41,61,0.2802329659461975,0.20621347427368164,0.11656655371189117,0.054003845900297165,0.05348547175526619
11,130,13,171,94,184,0.2616373896598816,0.1368195116519928,0.11869873106479645,0.11130955070257187,0.06487606465816498
12,184,171,52,199,31,0.2896612584590912,0.11901571601629257,0.11279870569705963,0.10256354510784149,0.05638822913169861
13,171,184,41,130,21,0.16931721568107605,0.11479146778583527,0.08680132776498795,0.08239395916461945,0.06678029149770737
14,26,168,90,98,181,0.23649778962135315,0.08407346904277802,0.07677201926708221,0.051962804049253464,0.03753826767206192
15,133,21,41,61,125,0.17321932315826416,0.1073053628206253,0.09673453867435455,0.08045448362827301,0.05629435181617737
16,21,61,133,41,62,0.3889016807079315,0.11400751769542694,0.07572908699512482,0.06578530371189117,0.04947648197412491
17,21,61,62,32,133,0.5004559755325317,0.26597025990486145,0.0676008015871048,0.027499735355377197,0.02241877093911171
18,184,32,130,21,56,0.09551538527011871,0.08795904368162155,0.0841330960392952,0.07815400511026382,0.06847257912158966
19,131,55,204,28,186,0.6383435130119324,0.060916025191545486,0.05016181990504265,0.03038359060883522,0.027400165796279907
20,81,41,4,184,171,0.24182415008544922,0.15763743221759796,0.1505422294139862,0.07629178464412689,0.04837488383054733
21,184,171,143,133,130,0.10680775344371796,0.09556777030229568,0.0734153762459755,0.05266318842768669,0.05200850963592529
22,41,133,184,21,0,0.17258808016777039,0.08921270072460175,0.08234133571386337,0.07930704206228256,0.06013544648885727
23,170,171,184,90,21,0.2540655732154846,0.24580809473991394,0.12200833857059479,0.05990901589393616,0.025600615888834
24,27,112,93,129,136,0.5277248620986938,0.07496066391468048,0.05007781460881233,0.04633842408657074,0.04336300492286682
25,41,133,184,21,0,0.17258808016777039,0.08921270072460175,0.08234133571386337,0.07930704206228256,0.06013544648885727
26,195,138,154,25,104,0.2918357253074646,0.23460838198661804,0.16212990880012512,0.03746373578906059,0.029890041798353195
27,184,90,171,52,21,0.19234833121299744,0.1589357554912567,0.08377817273139954,0.07845818251371384,0.07596325874328613
28,120,57,25,184,31,0.2333289086818695,0.06868144869804382,0.05678457021713257,0.04943426325917244,0.0409880056977272
29,97,167,24,136,64,0.31033873558044434,0.29690033197402954,0.0991521030664444,0.04681890830397606,0.04374808073043823
30,41,115,133,21,0,0.1259153038263321,0.09831932932138443,0.08822371065616608,0.07102899253368378,0.05589567497372627
31,170,143,171,130,90,0.21561869978904724,0.07990141212940216,0.06386584043502808,0.053980957716703415,0.05175665766000748
32,70,64,195,154,109,0.1892021745443344,0.17011211812496185,0.07119728624820709,0.05344945937395096,0.052795957773923874
33,171,184,130,199,170,0.5481036901473999,0.2214905321598053,0.04247857257723808,0.04114731773734093,0.04098319634795189
34,184,90,21,171,133,0.21408963203430176,0.13947999477386475,0.11692489683628082,0.08703110367059708,0.04558989778161049
35,115,41,133,143,57,0.18364675343036652,0.11752976477146149,0.09053236246109009,0.05297247692942619,0.043054692447185516
36,21,61,184,62,171,0.24333755671977997,0.12102790921926498,0.11243776977062225,0.059245429933071136,0.04925118759274483
37,97,24,136,112,64,0.49503645300865173,0.34754133224487305,0.03809750825166702,0.03136333078145981,0.010738412849605083
