,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,27,112,20,93,136,0.5625323057174683,0.13328666985034943,0.06430436670780182,0.06364419311285019,0.0605575367808342
1,57,133,32,143,130,0.25899219512939453,0.18980905413627625,0.08500903844833374,0.055091388523578644,0.053983159363269806
2,184,4,171,21,52,0.6498057842254639,0.18596622347831726,0.03505077213048935,0.016999399289488792,0.014433187432587147
3,112,136,198,93,24,0.42756372690200806,0.3638353943824768,0.05272931978106499,0.025397932156920433,0.02522369660437107
4,136,112,11,24,93,0.3827940821647644,0.3607558608055115,0.14709977805614471,0.030300360172986984,0.016981957480311394
5,138,154,194,195,91,0.29030829668045044,0.22922153770923615,0.07976406812667847,0.055378176271915436,0.0456102229654789
6,133,21,130,0,31,0.09717584401369095,0.07757861167192459,0.06979066878557205,0.06714161485433578,0.06335268914699554
7,195,71,138,154,104,0.32358628511428833,0.3150976002216339,0.07375209778547287,0.04178870469331741,0.032436683773994446
8,64,70,109,136,97,0.407952219247818,0.21214699745178223,0.06049720197916031,0.04475602135062218,0.038372013717889786
9,184,171,130,4,52,0.5594049692153931,0.20971615612506866,0.04154480621218681,0.030613973736763,0.019877705723047256
10,120,57,25,184,31,0.2333289086818695,0.06868144869804382,0.05678457021713257,0.04943426325917244,0.0409880056977272
11,138,52,195,154,152,0.25692152976989746,0.24891729652881622,0.15451517701148987,0.14524392783641815,0.01655484363436699
12,154,13,130,184,171,0.09785058349370956,0.07932408899068832,0.06291890889406204,0.053600013256073,0.05208973214030266
13,184,171,52,199,31,0.2896612584590912,0.11901571601629257,0.11279870569705963,0.10256354510784149,0.05638822913169861
14,170,143,171,130,90,0.21561869978904724,0.07990141212940216,0.06386584043502808,0.053980957716703415,0.05175665766000748
15,184,4,171,52,21,0.6494911313056946,0.05422982573509216,0.050361424684524536,0.04249037429690361,0.03082570992410183
16,184,4,132,7,171,0.1772090494632721,0.0935433954000473,0.08591572940349579,0.07812438905239105,0.054458100348711014
17,184,7,145,174,171,0.16685864329338074,0.0991135686635971,0.07650353014469147,0.06342476606369019,0.060427285730838776
18,136,112,195,198,138,0.4609188437461853,0.3441123068332672,0.06767192482948303,0.019377809017896652,0.01756790652871132
19,130,195,113,136,57,0.1297266185283661,0.07671777158975601,0.07071015238761902,0.05594928190112114,0.054172057658433914
20,104,152,154,120,168,0.07740751653909683,0.058094196021556854,0.053884875029325485,0.049581706523895264,0.04697620868682861
21,170,171,184,90,21,0.2540655732154846,0.24580809473991394,0.12200833857059479,0.05990901589393616,0.025600615888834
22,70,64,195,154,109,0.1892021745443344,0.17011211812496185,0.07119728624820709,0.05344945937395096,0.052795957773923874
23,112,136,64,11,93,0.4365193843841553,0.1787687987089157,0.09405641257762909,0.05962340906262398,0.029914429411292076
24,171,184,130,199,170,0.5481036901473999,0.2214905321598053,0.04247857257723808,0.04114731773734093,0.04098319634795189
25,184,90,21,171,133,0.21408963203430176,0.13947999477386475,0.11692489683628082,0.08703110367059708,0.04558989778161049
