,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,171,184,196,130,92,0.24316291511058807,0.129606693983078,0.11578373610973358,0.1116156205534935,0.09359048306941986
1,92,171,184,130,156,0.5128687620162964,0.12925751507282257,0.03939066082239151,0.02992081083357334,0.029278552159667015
2,54,20,45,8,2,0.9224261045455933,0.01030744705349207,0.009727904573082924,0.008013158105313778,0.004683929495513439
3,118,133,7,119,57,0.4152781069278717,0.1327996701002121,0.06249300390481949,0.04566643387079239,0.03287656977772713
4,171,184,170,130,13,0.4381663203239441,0.19298671185970306,0.08126877248287201,0.0587436743080616,0.02598441205918789
5,184,21,171,130,18,0.1466664969921112,0.12135271728038788,0.08535683155059814,0.05168844386935234,0.043405432254076004
6,2,133,6,130,32,0.14191637933254242,0.09590171277523041,0.08245380222797394,0.05956491082906723,0.051104821264743805
7,21,184,130,171,6,0.12130293995141983,0.09607065469026566,0.06571897864341736,0.06140075996518135,0.059756893664598465
8,31,184,133,21,118,0.10120010375976562,0.09470400959253311,0.0857066959142685,0.07998694479465485,0.05557722970843315
9,184,31,21,143,160,0.38163700699806213,0.13095073401927948,0.10488792508840561,0.04067327827215195,0.028233876451849937
10,115,32,133,41,94,0.22870735824108124,0.1777675747871399,0.09843917936086655,0.0803656354546547,0.05745070055127144
11,140,71,8,45,129,0.3617033362388611,0.08003063499927521,0.05353419855237007,0.05058806389570236,0.029206598177552223
12,143,21,133,31,130,0.13690197467803955,0.1090867668390274,0.09863264858722687,0.05418720841407776,0.041226357221603394
13,18,75,140,123,49,0.3139207363128662,0.20611262321472168,0.08632970601320267,0.05543830245733261,0.03141549974679947
14,21,32,143,133,57,0.25401923060417175,0.14409539103507996,0.14210189878940582,0.14084288477897644,0.04502108693122864
15,123,46,18,179,182,0.63523930311203,0.04672170430421829,0.04564707726240158,0.02595151588320732,0.01878121681511402
16,94,32,115,13,57,0.1898360401391983,0.1095075011253357,0.09758482128381729,0.09345695376396179,0.07063397765159607
17,4,90,52,65,143,0.2951596975326538,0.11721499264240265,0.09426137804985046,0.04314696043729782,0.03760458528995514
18,133,143,80,57,81,0.40847569704055786,0.0824105441570282,0.06309865415096283,0.05285961180925369,0.051941223442554474
19,94,130,32,13,98,0.3196762204170227,0.292141854763031,0.08628745377063751,0.07919280230998993,0.04079856723546982
20,171,184,130,90,156,0.6779717206954956,0.1085662692785263,0.0908094197511673,0.031644679605960846,0.023562099784612656
21,64,70,136,152,112,0.25393015146255493,0.1737334281206131,0.12352322041988373,0.09448882192373276,0.07764439284801483
22,99,49,66,23,24,0.14112330973148346,0.11845040321350098,0.1131782978773117,0.09701929986476898,0.06441156566143036
23,2,57,130,63,75,0.24920551478862762,0.06798016279935837,0.06261084228754044,0.05697684362530708,0.053273655474185944
24,75,166,32,2,115,0.46612563729286194,0.056385986506938934,0.04649956151843071,0.02494368515908718,0.020853640511631966
25,184,171,130,21,133,0.2288825809955597,0.143345907330513,0.06051276996731758,0.049708545207977295,0.031091684475541115
26,11,24,201,53,140,0.06558425724506378,0.06441269814968109,0.05362267419695854,0.052990227937698364,0.04602716863155365
27,194,28,91,192,131,0.14068111777305603,0.10720141232013702,0.08639581501483917,0.05017843097448349,0.049035049974918365
28,181,156,90,193,102,0.11734640598297119,0.10158294439315796,0.07832355797290802,0.05024230480194092,0.04169148951768875
29,75,191,130,32,31,0.11796130239963531,0.08108781278133392,0.07223527133464813,0.07080508023500443,0.052970319986343384
30,75,2,140,57,199,0.3496118187904358,0.11977341026067734,0.09069549292325974,0.0520545169711113,0.046906065195798874
