,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5
0,172,26,34,123,38,0.08955163508653641,0.07759980112314224,0.056233275681734085,0.049831878393888474,0.041873909533023834
1,184,111,75,123,132,0.4921964704990387,0.17126265168190002,0.05795477703213692,0.037547606974840164,0.031459130346775055
2,184,203,62,111,143,0.4488133490085602,0.17245535552501678,0.04133389890193939,0.02709418162703514,0.023455603048205376
3,99,23,49,36,152,0.23863431811332703,0.14340579509735107,0.12482031434774399,0.09982508420944214,0.07792928069829941
4,192,5,184,4,170,0.187927708029747,0.14178209006786346,0.12663820385932922,0.09510160982608795,0.07762550562620163
5,48,4,52,142,73,0.2670230567455292,0.26396867632865906,0.08541177213191986,0.06503191590309143,0.030358165502548218
6,184,132,171,4,189,0.7214317321777344,0.05340069532394409,0.04336618632078171,0.04085748642683029,0.035259295254945755
7,184,171,21,62,61,0.5549970269203186,0.08352240175008774,0.05114778131246567,0.0322173610329628,0.031154561787843704
8,4,184,189,81,188,0.22646291553974152,0.19756095111370087,0.04915884509682655,0.046198442578315735,0.04550889879465103
9,184,4,171,7,21,0.8525780439376831,0.03765285015106201,0.034815289080142975,0.019787568598985672,0.010636347346007824
10,184,171,4,52,21,0.6796963810920715,0.09119360148906708,0.03307921439409256,0.02916693687438965,0.023356672376394272
11,184,179,171,123,4,0.3929539620876312,0.1574549525976181,0.14152240753173828,0.0880952775478363,0.03968386352062225
12,49,152,18,84,154,0.4515962600708008,0.20707091689109802,0.10025329887866974,0.026046644896268845,0.02323385700583458
13,184,21,171,61,62,0.7037771940231323,0.07117220759391785,0.047804348170757294,0.03137824684381485,0.024050530046224594
14,184,4,52,171,31,0.5960134267807007,0.20364709198474884,0.05447510629892349,0.02311214618384838,0.021327419206500053
15,184,171,132,21,4,0.6402376890182495,0.10093061625957489,0.0276343934237957,0.023033488541841507,0.020643454045057297
16,184,4,31,21,171,0.7193704843521118,0.04748663678765297,0.04690000042319298,0.0431940034031868,0.023085765540599823
17,184,170,171,4,111,0.7307571172714233,0.10295276343822479,0.04086592420935631,0.03763660788536072,0.01507424283772707
18,143,133,57,21,118,0.5328084230422974,0.1343703716993332,0.0682850182056427,0.030448928475379944,0.028415953740477562
19,184,4,31,52,143,0.6453061103820801,0.03662116453051567,0.03450450301170349,0.03265387564897537,0.02531333640217781
20,184,171,4,52,7,0.8379639387130737,0.0548616424202919,0.04974842816591263,0.02001987397670746,0.0056874738074839115
21,171,90,184,130,156,0.2013152837753296,0.18964162468910217,0.09630920737981796,0.06276723742485046,0.0444461815059185
22,184,171,31,4,143,0.7054662704467773,0.056391336023807526,0.04294770210981369,0.02654102072119713,0.018233347684144974
23,133,143,65,57,118,0.11901525408029556,0.11696182191371918,0.061941731721162796,0.054401833564043045,0.03868037834763527
24,184,171,7,4,130,0.8720024228096008,0.060131002217531204,0.01500597782433033,0.010694755241274834,0.0048171840608119965
25,184,143,81,132,171,0.684902012348175,0.09254805743694305,0.04208523780107498,0.027607092633843422,0.02395142987370491
26,184,171,132,7,189,0.867707371711731,0.03308956325054169,0.014932637102901936,0.011877990327775478,0.008220359683036804
27,184,143,62,132,81,0.4441528916358948,0.06082183122634888,0.05016491562128067,0.031423844397068024,0.025503527373075485
28,184,21,61,171,62,0.35697799921035767,0.22347810864448547,0.048561181873083115,0.039472777396440506,0.03802979737520218
29,90,65,170,135,4,0.22641396522521973,0.11114127933979034,0.06670394539833069,0.042484331876039505,0.042096786201000214
30,184,7,21,31,132,0.7708009481430054,0.030126819387078285,0.029818475246429443,0.02582288719713688,0.021338533610105515
31,178,184,4,41,199,0.18245840072631836,0.14713802933692932,0.061610572040081024,0.04278380796313286,0.038422055542469025
32,148,31,185,191,142,0.2237868756055832,0.21117262542247772,0.05182186886668205,0.0369335412979126,0.03678567335009575
33,184,171,4,21,130,0.8298231363296509,0.0851912647485733,0.021493947133421898,0.011204729788005352,0.006963006220757961
34,184,132,7,196,171,0.39861565828323364,0.12722255289554596,0.09267739951610565,0.06252434104681015,0.04460655525326729
35,184,171,170,111,21,0.8585731387138367,0.03984978049993515,0.027796030044555664,0.019537845626473427,0.009181876666843891
36,184,171,21,61,62,0.7817932963371277,0.07043929398059845,0.04406275600194931,0.02296890877187252,0.012807647697627544
37,184,4,132,61,21,0.44540777802467346,0.19299587607383728,0.059644389897584915,0.04158272221684456,0.03590958192944527
38,184,4,171,7,170,0.8118709325790405,0.0543542206287384,0.0348220095038414,0.02219860628247261,0.022001393139362335
39,184,4,171,143,31,0.6760736703872681,0.11606065928936005,0.032095544040203094,0.016692638397216797,0.01572389341890812
40,184,7,4,171,21,0.913235068321228,0.018995679914951324,0.01853363774716854,0.017064513638615608,0.004650353454053402
41,9,81,144,8,5,0.09380576759576797,0.07302401959896088,0.0610039122402668,0.05559100955724716,0.04572967439889908
